lr-Adam,step,training_loss,pred_loss,update_loss,epoch,val_loss,val_loss_pred,val_loss_update,val_rmse,test_loss,test_rmse,test_var_pit,test_crps,test_ignorance,test_int_score,int_coverage,int_med_width,int_av_width
0.001,2519,,,,,,,,,,,,,,,,,
,2519,-261.2917175292969,-260.4801025390625,-811.6126708984375,12,,,,,,,,,,,,,
0.001,2539,,,,,,,,,,,,,,,,,
,2539,-322.29791259765625,-321.389892578125,-908.0145263671875,12,,,,,,,,,,,,,
0.001,2559,,,,,,,,,,,,,,,,,
,2559,-179.6484375,-178.9571533203125,-691.2780151367188,12,,,,,,,,,,,,,
0.001,2579,,,,,,,,,,,,,,,,,
,2579,-208.52821350097656,-207.5308074951172,-997.404052734375,12,,,,,,,,,,,,,
0.001,2599,,,,,,,,,,,,,,,,,
,2599,-124.99801635742188,-124.31674194335938,-681.275634765625,12,,,,,,,,,,,,,
,2599,,,,12,-6220.916015625,-6197.5380859375,-23377.251953125,38.03961181640625,,,,,,,,,
0.001,2619,,,,,,,,,,,,,,,,,
,2619,-31.533506393432617,-30.940153121948242,-593.3525390625,12,,,,,,,,,,,,,
0.001,2639,,,,,,,,,,,,,,,,,
,2639,-205.6763153076172,-204.8867645263672,-789.5455322265625,12,,,,,,,,,,,,,
0.001,2659,,,,,,,,,,,,,,,,,
,2659,-249.7222442626953,-248.7034454345703,-1018.7951049804688,12,,,,,,,,,,,,,
0.001,2679,,,,,,,,,,,,,,,,,
,2679,-178.4207000732422,-177.75062561035156,-670.0802001953125,12,,,,,,,,,,,,,
0.001,2699,,,,,,,,,,,,,,,,,
,2699,-216.38426208496094,-215.44552612304688,-938.72900390625,12,,,,,,,,,,,,,
,2703,,,,12,-6302.5576171875,-6278.80908203125,-23749.3828125,37.80412292480469,,,,,,,,,
0.001,2719,,,,,,,,,,,,,,,,,
,2719,-10.959640502929688,-10.309548377990723,-650.0918579101562,13,,,,,,,,,,,,,
0.001,2739,,,,,,,,,,,,,,,,,
,2739,-230.11485290527344,-229.28175354003906,-833.0948486328125,13,,,,,,,,,,,,,
0.001,2759,,,,,,,,,,,,,,,,,
,2759,-78.32488250732422,-77.69298553466797,-631.8946533203125,13,,,,,,,,,,,,,
0.001,2779,,,,,,,,,,,,,,,,,
,2779,-221.72088623046875,-220.7675018310547,-953.3826904296875,13,,,,,,,,,,,,,
0.001,2799,,,,,,,,,,,,,,,,,
